title,location,price,area_sqft,price_per_sqft,latitude,longitude,price_density,infrastructure,metro_distance,crime_rate,pollution,growth_index
"Residential Land / Plot in Sangareddy, Hyderabad",Sangareddy,3200000,2250,1422,17.309255041146848,78.33794626869866,1422.2222222222222,0.4551111111111111,11.544888888888888,9.544888888888888,5.549902338051146,-0.5448888888888885
"Residential Land / Plot in Sadashivpet, Hyderabad",Sadashivpet,4400000,3600,1222,17.349765219480645,78.53526815417332,1222.2222222222222,0.3911111111111111,11.608888888888888,9.608888888888888,6.722198572609306,-0.6088888888888886
"Residential Land / Plot in Aroor, Hyderabad",Aroor,3600000,1476,2439,17.519574666890115,78.53494854859517,2439.0243902439024,0.7804878048780488,11.21951219512195,9.21951219512195,4.3890647354435215,-0.21951219512195086
"Residential Land / Plot in Kompally, Hyderabad",Kompally,4500000,1350,3333,17.381459156289388,78.26947331913928,3333.3333333333335,1.0666666666666667,10.933333333333334,8.933333333333334,7.057393248977249,0.06666666666666654
"Residential Land / Plot in Keesara, Hyderabad",Keesara,2900000,1980,1444,17.42127844208144,78.26832539473656,1464.6464646464647,0.4686868686868687,11.531313131313132,9.531313131313132,7.84504021556448,-0.5313131313131316
"Residential Land / Plot in Shadnagar, Hyderabad",Shadnagar,2400000,1323,1778,17.538048763448206,78.28127146951361,1814.0589569160998,0.5804988662131519,11.419501133786849,9.419501133786849,5.341386339491035,-0.41950113378684833
"Residential Land / Plot in Adibatla, Hyderabad",Adibatla,3200000,1620,2000,17.354064194605197,78.33935055638368,1975.3086419753085,0.6320987654320988,11.367901234567901,9.367901234567901,6.65163522363164,-0.3679012345679011
"Residential Land / Plot in Nandi Kandi, Hyderabad",Nandi Kandi,4800000,1980,2444,17.383669478995404,78.45939585683062,2424.242424242424,0.7757575757575756,11.224242424242425,9.224242424242425,6.118283625078316,-0.22424242424242447
"Residential Land / Plot in Sadashivpet, Hyderabad",Sadashivpet,3000000,1800,1667,17.349765219480645,78.53526815417332,1666.6666666666667,0.5333333333333333,11.466666666666667,9.466666666666667,3.3300429002497034,-0.46666666666666673
"Residential Land / Plot in Shankarpalle Rangareddy, Hyderabad",Shankarpalle Rangareddy,13000000,9000,1444,17.367681454092693,78.48933380329987,1444.4444444444443,0.4622222222222222,11.537777777777778,9.537777777777778,7.814748646249783,-0.5377777777777781
"Residential Land / Plot in Lingareddyguda Shadnagar, Hyderabad",Lingareddyguda Shadnagar,4000000,1800,2222,17.485710637606925,78.42300883726952,2222.222222222222,0.7111111111111111,11.28888888888889,9.28888888888889,4.666706364164794,-0.28888888888888925
